Sl.NO.,PLAYING ROLE,BAT,BOW,ALL,BAT*SR,BOW*ECO,BOW*SR-BL,BAT*RUN-S,BOW*WK-I,BAT*T-RUNS,BAT*ODI-RUNS,BOW*WK-O,T-RUNS,T-WKTS,ALL*SR-B,ALL*SR-BL,ALL*ECON,RUNS-S,AVE,SIXERS,RUNS-C,WKTS,ECON,SR -BL,Year,Base Price,Sold Price
1,Allrounder,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13.93333333,8.898550725,0,0,0,307,15,8.898550725,13.93333333,2009,50000,50000
2,Bowler,0,1,0,0,14.5,0,0,0,0,0,185,214,18,0,0,0,0,0,0,29,0,14.5,0,2008,50000,50000
3,Bowler,0,1,0,0,8.81031614,24.89655172,0,29,0,0,288,571,58,0,0,0,167,18.55555556,5,1059,29,8.81031614,24.89655172,2008,200000,350000
4,Bowler,0,1,0,0,6.232686981,22.14285714,0,49,0,0,51,284,31,0,0,0,58,5.8,0,1125,49,6.232686981,22.14285714,2011,100000,850000
5,Batsman,1,0,0,120.7149404,0,0,1317,0,63,79,0,63,0,0,0,0,1317,32.925,28,0,0,0,0,2011,100000,800000
6,Batsman,1,0,0,95.45454545,0,0,63,0,0,172,0,0,0,0,0,0,63,21,0,0,0,0,0,2009,50000,50000
7,Bowler,0,1,0,0,7.983343248,19.40384615,0,52,0,0,34,51,27,0,0,0,26,4.333333333,1,1342,52,7.983343248,19.40384615,2011,100000,500000
8,Bowler,0,1,0,0,7.21875,15.56756757,0,37,0,0,62,54,50,0,0,0,21,21,1,693,37,7.21875,15.56756757,2011,200000,700000
9,Allrounder,0,0,1,0,0,0,0,0,0,0,0,83,17,114.7260274,28.10526316,6.853932584,335,30.45454545,3,610,19,6.853932584,28.10526316,2011,200000,950000
10,Batsman,1,0,0,127.5080906,0,0,394,0,5515,4686,0,5515,1,0,0,0,394,28.14285714,13,0,0,0,0,2008,200000,450000
11,Allrounder,0,0,1,0,0,0,0,0,0,0,0,2200,86,127.1212121,21.10638298,8.118932039,839,27.96666667,38,1338,47,8.118932039,21.10638298,2011,200000,200000
12,Batsman,1,0,0,80.64,0,0,25,0,9918,8778,0,9918,9,0,0,0,25,8.33,0,0,0,0,0,2008,200000,200000
13,Allrounder,0,0,1,0,0,0,0,0,0,0,0,5,3,113.0872483,100.2,38.11,337,13.48,9,1819,73,38.11,100.2,2008,125000,400000
14,Batsman,1,0,0,128.5291214,0,0,1302,0,5457,4998,0,5457,2,0,0,0,1302,34.26315789,42,0,0,0,0,2008,200000,300000
15,Batsman,1,0,0,122.319301,0,0,1540,0,0,69,0,0,0,0,0,0,1540,31.42857143,36,66,4,8.25,12,2011,100000,300000
16,Batsman,1,0,0,136.4471669,0,0,1782,0,3509,6773,0,3509,0,0,0,0,1782,37.125,64,0,0,0,0,2008,400000,1500000
17,Allrounder,0,0,1,0,0,0,0,0,0,0,0,4722,32,117.833698,53,8.072562358,1077,28.34210526,24,356,5,8.072562358,53,2008,150000,250000
18,Bowler,0,1,0,0,7.285601888,21.19444444,0,36,0,0,5,0,0,0,0,0,6,1,0,926,36,7.285601888,21.19444444,2011,100000,375000
19,Batsman,1,0,0,116.8840082,0,0,1703,0,13288,10889,0,13288,1,0,0,0,1703,27.91803279,23,0,0,0,0,2011,400000,500000
20,Batsman,1,0,0,119.2682927,0,0,978,0,654,2536,0,654,11,0,0,0,978,36.22222222,35,377,10,7.113207547,31.8,2009,300000,300000
21,Bowler,0,1,0,0,6.6,28,0,5,0,0,60,380,157,0,0,0,4,4,0,154,5,6.6,28,2009,150000,150000
22,Bowler,0,1,0,0,7.641025641,13.76470588,0,17,0,0,187,249,97,0,0,0,4,0,0,298,17,7.641025641,13.76470588,2008,150000,150000
23,Batsman,1,0,0,118.78,0,0,196,0,7172,8037,0,7172,0,0,0,0,196,21.77,3,0,0,0,0,2008,350000,350000
24,Allrounder,0,0,1,0,0,0,0,0,0,0,0,3845,226,116.98,33,9.545454545,62,31,2,105,2,9.545454545,33,2009,950000,1550000
25,Batsman,1,0,0,128.9013733,0,0,2065,0,3712,4819,0,3712,0,0,0,0,2065,33.30645161,32,0,0,0,0,2008,220000,725000
26,Batsman,1,0,0,106.8091845,0,0,1349,0,7212,11363,0,7212,32,0,0,0,1349,25.45283019,42,363,10,7.891304348,27.6,2011,200000,400000
27,Allrounder,0,0,1,0,0,0,0,0,0,0,0,6373,72,161.793722,34.84615385,8.047808765,1804,50.11111111,129,606,13,8.047808765,34.84615385,2008,250000,800000
28,Batsman,1,0,0,109.7893432,0,0,886,0,6167,8094,0,6167,0,0,0,0,886,27.6875,31,0,0,0,0,2008,250000,575000
29,Batsman,1,0,0,140.2053712,0,0,1775,0,5570,9619,0,5570,0,0,0,0,1775,27.734375,86,0,0,0,0,2008,300000,700000
30,Bowler,0,1,0,0,8.466101695,23.6,0,30,0,0,2,0,0,0,0,0,54,9,5,999,30,8.466101695,23.6,2011,50000,290000
31,Bowler,0,1,0,0,6.854876342,23.83333333,0,54,0,0,259,2164,406,0,0,0,430,16.53846154,22,1469,54,6.854876342,23.83333333,2008,250000,850000
32,Bowler,0,1,0,0,7.713607595,17.27272727,0,44,0,0,44,199,46,0,0,0,115,10.45454545,3,975,44,7.713607595,17.27272727,2011,200000,325000
33,Batsman,1,0,0,137.515528,0,0,1107,0,8625,6133,0,8625,0,0,0,0,1107,36.9,44,0,0,0,0,2008,225000,375000
34,Allrounder,0,0,1,0,0,0,0,0,0,0,0,0,0,68.75,36,6.66,11,5.5,1,40,1,6.66,36,2009,100000,650000
35,Allrounder,0,0,1,0,0,0,0,0,0,0,0,0,0,108.8888889,32.33333333,8.819875776,49,16.33333333,1,142,3,8.819875776,32.33333333,2011,50000,50000
36,Batsman,1,0,0,121.4975845,0,0,1006,0,503,575,0,503,0,0,0,0,1006,31.4375,28,300,17,7.894736842,13.41176471,2011,200000,425000
37,Allrounder,0,0,1,0,0,0,0,0,0,0,0,0,0,136.2745098,25.71428571,9.133333333,417,26.0625,11,548,14,9.133333333,25.71428571,2011,200000,350000
38,Allrounder,0,0,1,0,0,0,0,0,0,0,0,0,0,125.7772021,39,8.846153846,971,26.24324324,48,345,6,8.846153846,39,2008,100000,625000
39,Batsman,1,0,0,120.6549118,0,0,958,0,5708,5262,0,5708,7,0,0,0,958,39.91666667,25,0,0,0,0,2008,250000,250000
40,Allrounder,0,0,1,0,0,0,0,0,0,0,0,0,0,120.855615,23.65384615,7.331378299,904,23.17948718,35,750,26,7.331378299,23.65384615,2011,100000,950000
41,Allrounder,0,0,1,0,0,0,0,0,0,0,0,1944,2,107.4380165,0,0,130,16.25,3,0,0,0,0,2008,150000,150000
42,Allrounder,0,0,1,0,0,0,0,0,0,0,0,6973,98,144.3609023,22.61538462,7.959183673,768,27.42857143,39,390,13,7.959183673,22.61538462,2008,250000,975000
43,Batsman,1,0,0,128.024369,0,0,1471,0,10440,10596,0,10440,6,0,0,0,1471,30.64583333,33,0,0,0,0,2008,250000,475000
44,Batsman,1,0,0,103.6,0,0,259,0,624,2753,0,624,0,0,0,0,259,14.38888889,6,0,0,0,0,2008,125000,675000
45,Allrounder,0,0,1,0,0,0,0,0,0,0,0,12379,276,110.9542631,28.71111111,7.960037175,1965,30.703125,37,1713,45,7.960037175,28.71111111,2008,225000,900000
46,Batsman,1,0,0,164.1,0,0,128,0,2648,2924,0,2648,0,0,0,0,128,25.6,8,0,0,0,0,2008,150000,150000
47,Bowler,0,1,0,0,8.484848485,17.77777778,0,9,0,0,0,0,0,0,0,0,3,3,0,224,9,8.484848485,17.77777778,2009,20000,24000
48,Batsman,1,0,0,123.8430584,0,0,1231,0,1000,1008,0,1000,0,0,0,0,1231,24.1372549,28,0,0,0,0,2008,200000,525000
49,Bowler,0,1,0,0,7.015235457,41.33333333,0,21,0,0,37,88,24,0,0,0,111,18.5,1,1013,21,7.015235457,41.33333333,2008,200000,425000
50,Batsman,1,0,0,129.5698925,0,0,241,0,4188,1324,0,4188,21,0,0,0,241,24.1,8,0,0,0,0,2008,200000,200000
51,Batsman,1,0,0,119.286754,0,0,1639,0,491,3590,0,491,0,0,0,0,1639,28.25862069,49,345,4,8.84,58.5,2011,150000,1800000
52,Bowler,0,1,0,0,7.73166801,28.11320755,0,53,0,0,77,149,27,0,0,0,243,10.56521739,14,1919,53,7.73166801,28.11320755,2011,200000,800000
53,Bowler,0,1,0,0,9.545454545,33,0,2,0,0,337,2506,619,0,0,0,35,11.66666667,0,105,2,9.545454545,33,2008,250000,500000
54,Bowler,0,1,0,0,7.192307692,12,0,13,0,0,100,16,16,0,0,0,8,4,1,187,13,7.192307692,12,2011,100000,140000
55,Batsman,1,0,0,105.6179775,0,0,282,0,8781,2338,0,8781,2,0,0,0,282,15.66666667,5,0,0,0,0,2008,150000,375000
56,Bowler,0,1,0,0,7.558052434,38.23809524,0,21,0,0,377,1451,310,0,0,0,103,11.44444444,6,1009,21,7.558052434,38.23809524,2008,300000,900000
57,Allrounder,0,0,1,0,0,0,0,0,0,0,0,556,25,143.902439,15.55555556,7.428571429,177,17.7,9,520,27,7.428571429,15.55555556,2008,150000,225000
58,Bowler,0,1,0,0,6.3640553,15.68674699,0,83,0,0,185,275,101,0,0,0,64,5.818181818,4,1381,83,6.3640553,15.68674699,2008,200000,350000
59,Allrounder,0,0,1,0,0,0,0,0,0,0,0,0,0,101.369863,14.94736842,7.012711864,74,8.222222222,1,331,19,7.012711864,14.94736842,2011,100000,100000
60,Allrounder,0,0,1,0,0,0,0,0,0,0,0,1219,7,123.2786885,26.33333333,8.198473282,376,25.06666667,12,537,15,8.198473282,26.33333333,2011,300000,950000
61,Batsman,1,0,0,123.4234234,0,0,1233,0,3763,4511,0,3763,0,0,0,0,1233,28.02272727,48,0,0,0,0,2008,175000,700000
62,Allrounder,0,0,1,0,0,0,0,0,0,0,0,107,9,125.5102041,17.4,8.413793103,123,30.75,4,244,10,8.413793103,17.4,2011,50000,80000
63,Bowler,0,1,0,0,6.61,27,0,12,0,0,381,641,563,0,0,0,4,4,0,357,12,6.61,27,2008,350000,350000
64,Batsman,1,0,0,144.44,0,0,117,0,2173,2763,0,2173,0,0,0,0,117,16.71,6,0,0,0,0,2010,100000,100000
65,Bowler,0,1,0,0,7.109665428,17.45945946,0,74,0,0,19,392,43,0,0,0,186,10.94117647,3,1530,74,7.109665428,17.45945946,2011,100000,300000
66,Bowler,0,1,0,0,9.886363636,44,0,6,0,0,3,120,9,0,0,0,32,8,1,435,6,9.886363636,44,2011,100000,260000
67,Bowler,0,1,0,0,9.25,24,0,8,0,0,46,141,106,0,0,0,3,1.5,0,296,8,9.25,24,2008,225000,650000
68,Allrounder,0,0,1,0,0,0,0,0,0,0,0,58,1,146.2546816,20.01449275,8.252933507,781,24.40625,45,1899,69,8.252933507,20.01449275,2008,225000,675000
69,Bowler,0,1,0,0,7.366666667,18.94736842,0,38,0,0,94,555,139,0,0,0,60,10,2,884,38,7.366666667,18.94736842,2011,100000,475000
70,Bowler,0,1,0,0,6.488372093,22.63157895,0,57,0,0,534,1261,800,0,0,0,20,3.333333333,0,1395,57,6.488372093,22.63157895,2008,250000,600000
71,Bowler,0,1,0,0,7.173913043,21.91666667,0,24,0,0,1,0,0,0,0,0,4,4,0,627,24,7.173913043,21.91666667,2011,200000,650000
72,Allrounder,0,0,1,0,0,0,0,0,0,0,0,0,0,123.1947484,25.85714286,8.737541528,563,19.4137931,19,263,7,8.737541528,25.85714286,2011,50000,800000
73,Bowler,0,1,0,0,7.568253968,19.72916667,0,48,0,0,157,77,44,0,0,0,38,19,1,1192,48,7.568253968,19.72916667,2011,200000,850000
74,Allrounder,0,0,1,0,0,0,0,0,0,0,0,0,0,90,24,10,9,9,0,40,1,10,24,2010,20000,20000
75,Bowler,0,1,0,0,6.91,30,0,7,0,0,266,699,390,0,0,0,11,11,0,242,7,6.91,30,2008,200000,200000
76,Batsman,1,0,0,117.9361179,0,0,960,0,0,1,0,0,0,0,0,0,960,22.3255814,50,0,0,0,0,2011,100000,270000
77,Bowler,0,1,0,0,7.163350301,18.79710145,0,69,0,0,20,70,62,0,0,0,10,1,0,1548,69,7.163350301,18.79710145,2011,200000,500000
78,Allrounder,0,0,1,0,0,0,0,0,0,0,0,1780,60,98.14814815,23.66666667,9.263456091,106,13.25,5,327,9,9.263456091,23.66666667,2008,200000,675000
79,Bowler,0,1,0,0,9.36,27.27272727,0,11,0,0,0,0,0,0,0,0,7,3.5,0,468,11,9.36,27.27272727,2011,50000,95000
80,Bowler,0,1,0,0,7.390663391,17.47142857,0,70,0,0,86,60,35,0,0,0,39,7.8,0,1504,70,7.390663391,17.47142857,2008,100000,275000
81,Batsman,1,0,0,107.2941176,0,0,912,0,683,736,0,683,0,0,0,0,912,20.26666667,13,0,0,0,0,2008,150000,325000
82,Allrounder,0,0,1,0,0,0,0,0,0,0,0,1105,100,128.3149171,23.22727273,7.735996866,929,23.82051282,34,1975,66,7.735996866,23.22727273,2008,200000,925000
83,Allrounder,0,0,1,0,0,0,0,0,0,0,0,0,0,149.2477432,26.36111111,7.204301075,1488,25.65517241,81,1139,36,7.204301075,26.36111111,2008,100000,475000
84,Batsman,1,0,0,141.2026726,0,0,634,0,6654,4184,0,6654,5,0,0,0,634,42.26666667,30,215,7,7.413793103,24.85714286,2009,1350000,1550000
85,Allrounder,0,0,1,0,0,0,0,0,0,0,0,3781,421,132.43,25,6.54,147,18.37,8,301,11,6.54,25,2008,200000,550000
86,Batsman,1,0,0,130.4812834,0,0,244,0,0,0,0,0,0,0,0,0,244,27.11111111,12,0,0,0,0,2011,20000,50000
87,Batsman,1,0,0,73.58,0,0,39,0,13218,13704,0,13218,5,0,0,0,39,9.75,1,0,0,0,0,2008,335000,400000
88,Bowler,0,1,0,0,7.422535211,32.76923077,0,13,0,0,34,13,6,0,0,0,67,22.33333333,1,527,13,7.422535211,32.76923077,2008,150000,170000
89,Batsman,1,0,0,139.3939394,0,0,2254,0,710,3525,0,710,13,0,0,0,2254,33.64179104,97,678,20,7.047817048,28.9,2008,125000,650000
90,Allrounder,0,0,1,0,0,0,0,0,0,0,0,1269,5,131.8777293,29.5,7.729591837,604,21.57142857,19,303,8,7.729591837,29.5,2009,100000,160000
91,Batsman,1,0,0,128.2758621,0,0,372,0,74,4,0,74,0,0,0,0,372,28.61538462,16,0,0,0,0,2011,100000,100000
92,Batsman,1,0,0,124.7611465,0,0,1567,0,9382,10472,0,9382,0,0,0,0,1567,27.98214286,27,0,0,0,0,2008,250000,700000
93,Batsman,1,0,0,97.33,0,0,73,0,5842,5644,0,5842,23,0,0,0,73,18.25,1,0,0,0,0,2008,225000,225000
94,Batsman,1,0,0,167.3196794,0,0,1879,0,8178,8090,0,8178,40,0,0,0,1879,30.30645161,79,226,6,10.56074766,21.66666667,2011,400000,1800000
95,Allrounder,0,0,1,0,0,0,0,0,0,0,0,1716,48,176.08,20,7.5,81,10.12,6,225,9,7.5,20,2008,225000,675000
96,Bowler,0,1,0,0,7.631408177,23.61111111,0,36,0,0,64,432,133,0,0,0,37,9.25,1,1176,36,7.631408177,23.61111111,2008,150000,950000
97,Allrounder,0,0,1,0,0,0,0,0,0,0,0,0,0,120,21.33333333,9.882075472,36,9,2,419,12,9.882075472,21.33333333,2008,100000,225000
98,Batsman,1,0,0,129.1693918,0,0,1975,0,0,1961,0,0,0,0,0,0,1975,31.34920635,82,408,14,8,21.85714286,2008,150000,750000
99,Bowler,0,1,0,0,7.71,8.4,0,5,0,0,247,544,178,0,0,0,2,2,0,54,5,7.71,8.4,2008,250000,425000
100,Allrounder,0,0,1,0,0,0,0,0,0,0,0,1606,21,110.63,25.5,10,52,13,0,85,2,10,25.5,2008,300000,500000
101,Batsman,1,0,0,153.84,0,0,40,0,537,1587,0,537,1,0,0,0,40,20,1,21,0,21,0,2008,100000,100000
102,Bowler,0,1,0,0,7.754098361,19.78378378,0,74,0,0,69,116,40,0,0,0,52,3.466666667,1,1892,74,7.754098361,19.78378378,2008,200000,875000
103,Allrounder,0,0,1,0,0,0,0,0,0,0,0,320,7,148.8135593,27.88888889,8.144578313,439,25.82352941,24,338,9,8.144578313,27.88888889,2009,100000,100000
104,Batsman,1,0,0,110.6287425,0,0,739,0,8042,6598,0,8042,8,0,0,0,739,28.42307692,9,0,0,0,0,2008,250000,250000
105,Bowler,0,1,0,0,6.46,11.2,0,22,0,0,55,17,5,0,0,0,36,12,1,266,22,6.46,11.2,2008,100000,100000
106,Bowler,0,1,0,0,8.248,21.42857143,0,35,0,0,75,281,87,0,0,0,33,11,0,1031,35,8.248,21.42857143,2008,200000,625000
107,Bowler,0,1,0,0,6.582534074,20.15254237,0,59,0,0,91,770,272,0,0,0,70,4.666666667,1,1304,59,6.582534074,20.15254237,2008,150000,325000
108,Allrounder,0,0,1,0,0,0,0,0,0,0,0,1586,20,98.4962406,27,7.666666667,131,18.71428571,3,276,8,7.666666667,27,2008,175000,175000
109,Allrounder,0,0,1,0,0,0,0,0,0,0,0,1462,24,129.8666667,26.35,7.702857143,974,36.07407407,41,674,20,7.702857143,26.35,2008,250000,1350000
110,Batsman,1,0,0,119.23,0,0,31,0,1546,3393,0,1546,1,0,0,0,31,10.33,0,0,0,0,0,2008,125000,125000
111,Batsman,1,0,0,130.2765648,0,0,895,0,2742,3185,0,2742,2,0,0,0,895,27.96875,45,24,0,12,0,2008,400000,1000000
112,Batsman,1,0,0,119.219569,0,0,2047,0,15470,18426,0,15470,45,0,0,0,2047,37.90740741,24,58,0,9.666666667,0,2011,400000,1800000
113,Batsman,1,0,0,113.3333333,0,0,969,0,0,165,0,0,0,0,0,0,969,31.25806452,22,45,1,11.25,24,2008,100000,675000
114,Batsman,1,0,0,119.5994278,0,0,836,0,0,49,0,0,0,0,0,0,836,25.33333333,32,0,0,0,0,2011,100000,1600000
115,Bowler,0,1,0,0,8.550724638,34.83333333,0,6,0,0,3,0,0,0,0,0,3,3,0,295,6,8.550724638,34.83333333,2011,50000,240000
116,Bowler,0,1,0,0,8.17,11.2,0,12,0,0,154,541,157,0,0,0,39,13,5,184,12,8.17,11.2,2008,150000,150000
117,Batsman,1,0,0,126.168991,0,0,1538,0,0,786,0,0,0,0,0,0,1538,26.98245614,59,0,0,0,0,2008,200000,800000
118,Bowler,0,1,0,0,7.553191489,15.66666667,0,18,0,0,400,3089,355,0,0,0,81,10.125,3,355,18,7.553191489,15.66666667,2008,200000,200000
119,Allrounder,0,0,1,0,0,0,0,0,0,0,0,0,0,118.1034483,20.94444444,6.832,137,15.22222222,8,427,18,6.832,20.94444444,2011,50000,50000
120,Batsman,1,0,0,118.240621,0,0,914,0,0,218,0,0,0,0,0,0,914,22.29268293,37,321,6,9.441176471,34,2011,100000,700000
121,Allrounder,0,0,1,0,0,0,0,0,0,0,0,4486,359,107.079646,27.75,6.811481769,121,15.125,2,878,28,6.811481769,27.75,2008,250000,625000
122,Bowler,0,1,0,0,8.237623762,19.86885246,0,61,0,0,28,11,1,0,0,0,217,9.434782609,5,1664,61,8.237623762,19.86885246,2011,100000,475000
123,Bowler,0,1,0,0,7.271356784,20.94736842,0,57,0,0,293,3154,708,0,0,0,198,9.9,6,1447,57,7.271356784,20.94736842,2008,450000,450000
124,Batsman,1,0,0,135.7615894,0,0,1025,0,483,876,0,483,2,0,0,0,1025,27.7027027,44,0,0,0,0,2011,200000,750000
125,Batsman,1,0,0,132.0921986,0,0,745,0,146,2037,0,146,5,0,0,0,745,31.04166667,29,70,0,14,0,2008,100000,500000
126,Batsman,1,0,0,125.64,0,0,49,0,0,0,0,0,0,0,0,0,49,9.8,2,0,0,0,0,2010,50000,750000
127,Batsman,1,0,0,42.85,0,0,3,0,6398,6814,0,6398,7,0,0,0,3,3,0,0,0,0,0,2008,225000,225000
128,Batsman,1,0,0,131.8763326,0,0,1237,0,1775,8051,0,1775,9,0,0,0,1237,26.31914894,67,569,23,7.024691358,21.13043478,2011,400000,1800000
129,Bowler,0,1,0,0,7.745438749,21.26153846,0,65,0,0,278,1114,288,0,0,0,99,9.9,1,1783,65,7.745438749,21.26153846,2008,200000,450000
130,Bowler,0,1,0,0,9,33,0,2,0,0,108,288,64,0,0,0,11,11,0,99,2,9,33,2008,100000,110000
